iata	airport	city	country	prominent
AAA	Anaa	Anaa	French Polynesia	false
AAB	Arrabury	Arrabury	Australia	false
AAE	Les Salines	Annaba	Algeria	false
AAF	Apalachicola Regional	Apalachicola	United States	false
AAG	Arapoti	Arapoti	Brazil	false
AAI	Arraias	Arraias	Brazil	false
AAJ	Cayana Airstrip	Awaradam	Suriname	false
AAK	Aranuka	Aranuka	Kiribati	false
AAL	Aalborg	Aalborg	Denmark	false
AAM	Mala Mala	Mala Mala	South Africa	false
AAN	Al Ain	Al Ain	United Arab Emirates	false
AAO	Anaco	Anaco	Venezuela	false
AAR	Aarhus Airport	Aarhus	Denmark	false
AAS	Apalapsili	Apalapsili	Indonesia	false
AAT	Altay	Altay	China	false
AAU	Asau	Asau	Samoa	false
AAV	Allah Valley	Surallah	Philippines	false
AAW	Abbottabad	Abbottabad	Pakistan	false
AAX	Araxa	Araxa	Brazil	false
AAY	Al Ghaydah	Al Ghaydah	Yemen	false
AAZ	Quetzaltenango	Quetzaltenango	Guatemala	false
ABA	Abakan	Abakan	Russia	true
ABB	RAF Station	Asaba	Nigeria	false
ABC	Los Llanos	Albacete	Spain	false
ABD	Abadan	Abadan	Iran	false
ABE	Lehigh Valley International	Allentown	United States	false
ABF	Abaiang	Abaiang	Kiribati	false
ABH	Alpha	Alpha	Australia	false
ABI	Municipal	Abilene	United States	false
ABJ	Felix Houphouet Boigny	Abidjan	Ivory Coast	true
ABK	Kabri Dar	Kabri Dar	Ethiopia	false
ABL	Ambler	Ambler	United States	false
ABM	Bamaga Injinoo	Bamaga	Australia	false
ABN	Albina	Albina	Suriname	false
ABO	Aboisso	Aboisso	Ivory Coast	false
ABP	Atkamba	Atkamba	Papua New Guinea	false
ABQ	Albuquerque International	Albuquerque	United States	false
ABR	Municipal	Aberdeen	United States	false
ABS	Abu Simbel	Abu Simbel	Egypt	false
ABT	Al-Aqiq	Al-Baha	Saudi Arabia	true
ABU	Atambua	Atambua	Indonesia	false
ABV	Nnamdi Azikiwe International Airport	Abuja	Nigeria	true
ABW	Abau	Abau	Papua New Guinea	false
ABX	Albury	Albury	Australia	false
ABY	Dougherty County	Albany	United States	false
ABZ	Dyce	Aberdeen	United Kingdom	true
ACA	General Juan N. Alvarez International	Acapulco	Mexico	false
ACB	Antrim County	Bellaire	United States	false
ACC	Kotoka International Airport	Accra	Ghana	true
ACD	Acandi	Acandi	Colombia	false
ACE	Lanzarote	Arrecife	Spain	true
ACH	Altenrhein	Altenrhein	Switzerland	false
ACI	The Blaye	Alderney	Guernsey	false
ACJ	Anuradhapura	Anuradhapura	Sri Lanka	false
ACK	Nantucket Memorial	Nantucket	United States	false
ACL	Aguaclara	Aguaclara	Colombia	false
ACM	Arica	Arica	Colombia	false
ACN	International	Acuna	Mexico	false
ACR	Araracuara	Araracuara	Colombia	false
ACS	Achinsk	Achinsk	Russia	false
ACT	Municipal	Waco	United States	false
ACU	Achutupo	Achutupo	Panama	false
ACV	Arcata	Arcata	United States	false
ACX	Xingyi	Xingyi	China	false
ACY	Atlantic City International	Atlantic City	United States	false
ACZ	Zabol Airport	Zabol	Iran	false
ADA	Adana	Adana	Turkey	false
ADB	Adnan Menderes Airport	Izmir	Turkey	true
ADC	Andakombe	Andakombe	Papua New Guinea	false
ADD	Bole International	Addis Ababa	Ethiopia	true
ADE	International	Aden	Yemen	false
ADF	Adiyaman	Adiyaman	Turkey	false
ADG	Lenawee County	Adrian	United States	false
ADH	Aldan	Aldan	Russia	false
ADI	Arandis	Arandis	Namibia	false
ADJ	Marka International Airport	Amman	Jordan	false
ADK	Adak Island Ns	Adak Island	United States	false
ADL	Adelaide International Airport	Adelaide	Australia	true
ADM	Ardmore Municipal Airport	Ardmore	United States	false
ADN	Andes	Andes	Colombia	false
ADO	Andamooka	Andamooka	Australia	false
ADP	Ampara	Ampara	Sri Lanka	false
ADQ	Kodiak Airport	Kodiak	United States	false
ADR	Andrews	Andrews	United States	false
ADS	Addison Airport	Dallas	United States	false
ADT	Ada Municipal	Ada	United States	false
ADU	Ardabil	Ardabil	Iran	false
ADW	Andrews AFB	Camp Springs	United States	false
ADX	Leuchars	St Andrews	United Kingdom	false
ADY	Alldays	Alldays	South Africa	false
ADZ	San Andres Island	San Andres Island	Colombia	false
AEA	Abemama Atoll	Abemama Atoll	Kiribati	false
AEB	Youjiang	Baise	China	false
AED	Aleneva	Aleneva	United States	false
AEE	Adareil	Adareil	South Sudan	false
AEG	Aek Godang	Aek Godang	Indonesia	false
AEH	Abeche	Abéché	Chad	false
AEI	Algeciras	Algeciras	Spain	false
AEK	Aseki	Aseki	Papua New Guinea	false
AEL	Albert Lea	Albert Lea	United States	false
AEO	Aioun El Atrouss	Aioun El Atrouss	Mauritania	false
AEP	Aeroparque Jorge Newbery	Buenos Aires	Argentina	true
AER	Sochi International Airport	Sochi	Russia	true
AES	Vigra	Aalesund	Norway	false
AET	Allakaket	Allakaket	United States	false
AEU	Abu Musa	Abu Musa	Iran	false
AEX	Alexandria International	Alexandria	United States	false
AEY	Akureyri	Akureyri	Iceland	false
AFA	San Rafael	San Rafael	Argentina	false
AFD	Port Alfred	Port Alfred	South Africa	false
AFF	USAF Academy Airstrip	Colorado Springs	United States	false
AFI	Amalfi	Amalfi	Colombia	false
AFK	Kondavattavan Tank	Ampara	Sri Lanka	false
AFL	Alta Floresta	Alta Floresta	Brazil	false
AFN	Municipal	Jaffrey	United States	false
AFO	Municipal	Afton	United States	false
AFR	Afore	Afore	Papua New Guinea	false
AFS	Zarafshan	Zarafshan	Uzbekistan	false
AFT	Afutara Aerodrome	Afutara	Solomon Islands	false
AFW	Fort Worth Alliance	Dallas	United States	false
AFY	Afyon	Afyon	Turkey	false
AGA	Al Massira	Agadir	Morocco	true
AGB	Augsburg - Muehlhausen	Munich	Germany	false
AGC	Allegheny County	Pittsburgh	United States	false
AGD	Anggi	Anggi	Indonesia	false
AGE	Flugplatz	Wangerooge	Germany	false
AGF	La Garenne	Agen	France	false
AGG	Angoram	Angoram	Papua New Guinea	false
AGH	Angelholm	Angelholm	Sweden	false
AGI	Wageningen	Wageningen	Suriname	false
AGJ	Aguni	Aguni	Japan	false
AGK	Kagua	Kagua	Papua New Guinea	false
AGL	Wanigela	Wanigela	Papua New Guinea	false
AGM	Tasiilaq	Tasiilaq	Greenland	false
AGN	Angoon	Angoon	United States	false
AGO	Municipal	Magnolia	United States	false
AGP	Malaga Costa del Sol Airport	Malaga	Spain	true
AGR	Kheria	Agra	India	false
AGS	Bush Field	Augusta	United States	false
AGT	Alejo Garcia	Ciudad Del Este	Paraguay	false
AGU	Aguascalients	Aguascalientes	Mexico	false
AGV	Acarigua	Acarigua	Venezuela	false
AGW	Agnew	Agnew	Australia	false
AGX	Agatti Island	Agatti Island	India	false
AGZ	Aggeneys	Aggeneys	South Africa	false
AHA	Naha AFB	Okinawa	Japan	false
AHB	Abha	Abha	Saudi Arabia	true
AHC	Amedee AAF	Herlong	United States	false
AHD	Downtown	Ardmore	United States	false
AHE	Ahe Airport	Ahe	French Polynesia	false
AHF	Municipal	Arapahoe	United States	false
AHH	Municipal	Amery	United States	false
AHI	Amahai	Amahai	Indonesia	false
AHL	Aishalton	Aishalton	Guyana	false
AHM	Sumner Parker Field	Ashland	United States	false
AHN	Athens-Ben Epps	Athens	United States	false
AHO	Fertilia	Alghero	Italy	false
AHS	Ahuas	Ahuas	Honduras	false
AHU	Charif Al Idrissi	Al Hoceima	Morocco	false
AHW	Saih Rawl	Saih Rawl	Oman	false
AHY	Ambatolahy	Ambatolahy	Madagascar	false
AHZ	Alpe D Huez	Alpe D Huez	France	false
AIA	Alliance	Alliance	United States	false
AIB	Anita Bay	Anita Bay	United States	false
AIC	Airok	Airok	Marshall Islands	false
AID	Municipal	Anderson	United States	false
AIE	Aiome	Aiome	Papua New Guinea	false
AIF	Assis	Assis	Brazil	false
AIG	Yalinga	Yalinga	Central African Republic	false
AIH	Aiambak	Aiambak	Papua New Guinea	false
AII	Alisabieh	Alisabieh	Djibouti	false
AIK	Municipal	Aiken	United States	false
AIL	Ailigandi	Ailigandi	Panama	false
AIM	Ailuk Island	Ailuk Island	Marshall Islands	false
AIN	Wainwright	Wainwright	United States	false
AIO	Municipal	Atlantic	United States	false
AIP	Ailinglapalap Island	Ailinglapalap Island	Marshall Islands	false
AIR	Aripuana	Aripuana	Brazil	false
AIS	Arorae Island	Arorae Island	Kiribati	false
AIT	Aitutaki	Aitutaki	Cook Islands	false
AIU	Atiu Island	Atiu Island	Cook Islands	false
AIV	George Downer	Aliceville	United States	false
AIW	Ai-ais	Ai-ais	Namibia	false
AIZ	Lee C Fine Memorial	Kaiser	United States	false
AJA	Campo Dell Oro	Ajaccio	France	false
AJF	Jouf	Sakaka Al Jouf	Saudi Arabia	true
AJI	Agri	Agri	Turkey	false
AJJ	Akjoujt	Akjoujt	Mauritania	false
AJK	Araak	Araak	Iran	false
AJL	Aizawl	Aizawl	India	false
AJN	Ouani	Anjouan	Comoros	false
AJR	Arvidsjaur	Arvidsjaur	Sweden	false
AJS	Abreojos	Abreojos	Mexico	false
AJU	Santa Maria	Aracaju	Brazil	false
AJY	Agades	Agades	Niger	false
AKA	Ankang	Ankang	China	false
AKB	Atka	Atka	United States	false
AKC	Fulton International	Akron/Canton	United States	false
AKD	Akola	Akola	India	false
AKE	Akieni	Akieni	Gabon	false
AKF	Kufrah	Kufrah	Libya	false
AKG	Anguganak	Anguganak	Papua New Guinea	false
AKH	Prince Sultan Air Base	Al Kharj	Saudi Arabia	false
AKI	Akiak	Akiak	United States	false
AKJ	Asahikawa	Asahikawa	Japan	false
AKK	Akhiok SPB	Akhiok	United States	false
AKL	Auckland International	Auckland	New Zealand	false
AKM	Zakouma	Zakouma	Chad	false
AKN	King Salmon	King Salmon	United States	false
AKO	Colorado Plains Regional Airport	Akron	United States	false
AKP	Anaktuvuk	Anaktuvuk	United States	false
AKQ	Gunung Batin	Astraksetra	Indonesia	false
AKR	Akure	Akure	Nigeria	false
AKS	Gwaunaru'u	Auki	Solomon Islands	false
AKT	Raf Akrotiri	Akrotiri	Cyprus	false
AKU	Aksu	Aksu	China	false
AKV	Akulivik	Akulivik	Canada	false
AKW	Aghajari	Aghajari	Iran	false
AKX	Aktyubinsk	Aktyubinsk	Kazakhstan	false
AKY	Civil	Sittwe	Myanmar	false
ALA	Almaty International Airport	Almaty	Kazakhstan	true
ALB	Albany International	Albany	United States	false
ALC	Alicante Elche Miguel Hernandez Airport	Alicante	Spain	true
ALD	Alerta	Alerta	Peru	false
ALE	Alpine	Alpine	United States	false
ALF	Alta	Alta	Norway	false
ALG	Houari Boumediene	Algiers	Algeria	false
ALH	Albany	Albany	Australia	false
ALI	International	Alice	United States	false
ALJ	Kortdoorn	Alexander Bay	South Africa	false
ALK	Asela	Asela	Ethiopia	false
ALL	Albenga	Albenga	Italy	false
ALM	Municipal	Alamogordo	United States	false
ALN	Alton	Alton	United States	false
ALO	Waterloo	Waterloo	United States	false
ALP	Nejrab	Aleppo	Syria	false
ALQ	Federal	Alegrete	Brazil	false
ALR	Alexandra	Alexandra	New Zealand	false
ALS	Municipal	Alamosa	United States	false
ALT	Alenquer	Alenquer	Brazil	false
ALU	Alula	Alula	Somalia	false
ALW	Walla Walla	Walla Walla	United States	false
ALX	Thomas C Russell Field	Alexander City	United States	false
ALY	El Nohza	Alexandria	Egypt	false
ALZ	Alitak SPB	Alitak	United States	false
AMA	Rick Husband Amarillo International	Amarillo	United States	false
AMB	Ambilobe	Ambilobe	Madagascar	false
AMC	Am Timan	Am Timan	Chad	false
AME	Alto Molocue	Alto Molocue	Mozambique	false
AMF	Ama	Ama	Papua New Guinea	false
AMG	Amboin	Amboin	Papua New Guinea	false
AMH	Arba Mintch	Arba Mintch	Ethiopia	false
AMJ	Almenara	Almenara	Brazil	false
AMK	Animas Airpark	Durango	United States	false
AMM	Queen Alia International	Amman	Jordan	true
AMN	Gratiot Community	Alma	United States	false
AMO	Mao	Mao	Chad	false
AMP	Ampanihy	Ampanihy	Madagascar	false
AMQ	Pattimura	Ambon	Indonesia	true
AMR	Arno	Arno	Marshall Islands	false
AMS	Schiphol	Amsterdam	Netherlands	true
AMT	Amata	Amata	Australia	false
AMU	Amanab	Amanab	Papua New Guinea	false
AMV	Amderma	Amderma	Russia	false
AMW	Ames	Ames	United States	false
AMX	Ammaroo	Ammaroo	Australia	false
AMY	Ambatomainty	Ambatomainty	Madagascar	false
AMZ	Ardmore	Ardmore	New Zealand	false
ANA	John Wayne International	Anaheim	United States	false
ANB	Anniston Metropolitan	Anniston	United States	false
ANC	Ted Stevens Anchorage International Airport	Anchorage	United States	false
AND	Anderson	Anderson	United States	false
ANE	Marce	Angers	France	false
ANF	Cerro Moreno	Antofagasta	Chile	true
ANG	Brie-Champniers	Angouleme	France	false
ANI	Aniak	Aniak	United States	false
ANJ	Zanaga	Zanaga	Republic of the Congo	false
ANK	Etimesgut	Ankara	Turkey	false
ANL	Andulo	Andulo	Angola	false
ANM	Antsirabato	Antalaha	Madagascar	false
ANN	Annette Island	Annette Island	United States	false
ANO	Angoche	Angoche	Mozambique	false
ANP	Lee	Annapolis	United States	false
ANQ	Tri-State Steuben County	Angola	United States	false
ANR	Deurne/ Antwerp Airport	Antwerp	Belgium	false
ANS	Andahuaylas	Andahuaylas	Peru	false
ANT	St Anton	St Anton	Austria	false
ANU	V. C. Bird International	St. John's	Antigua and Barbuda	false
ANV	Anvik	Anvik	United States	false
ANW	Ainsworth	Ainsworth	United States	false
ANX	Andoya	Andenes	Norway	false
ANY	Anthony	Anthony	United States	false
ANZ	Angus Downs	Angus Downs	Australia	false
AOB	Annanberg	Annanberg	Papua New Guinea	false
AOC	Altenburg Nobitz	Altenburg	Germany	false
AOD	Abou Deia	Abou Deia	Chad	false
AOE	Anadolu University	Eskisehir	Turkey	false
AOG	Anshan	Anshan	China	false
AOH	Allen County	Lima	United States	false
AOI	Falconara	Ancona	Italy	false
AOJ	Aomori	Aomori	Japan	false
AOK	Karpathos	Karpathos	Greece	false
AOL	Paso De Los Libres	Paso De Los Libres	Argentina	false
AOM	Adam	Adam	Oman	false
AON	Arona	Arona	Papua New Guinea	false
AOO	Martinsburg	Martinsburg	United States	false
AOP	Andoas	Andoas	Peru	false
AOR	Alor Setar	Alor Setar	Malaysia	false
AOS	Amook	Amook	United States	false
AOT	Corrado Gex	Aosta	Italy	false
AOU	Attopeu	Attopeu	Laos	false
APA	Arapahoe Co	Denver	United States	false
APB	Apolo	Apolo	Bolivia	false
APC	Napa County	Napa	United States	false
APE	San Juan Aposento	San Juan Aposento	Peru	false
APF	Naples	Naples	United States	false
APG	Phillips AAF	Aberdeen	United States	false
APH	Camp A P Hill	Bowling Green	United States	false
API	Apiay	Apiay	Colombia	false
APK	Apataki	Apataki	French Polynesia	false
APL	Nampula	Nampula	Mozambique	false
APN	Alpena County Regional	Alpena	United States	false
APO	Apartado	Apartado	Colombia	false
APP	Asapa	Asapa	Papua New Guinea	false
APQ	Arapiraca	Arapiraca	Brazil	false
APR	April River	April River	Papua New Guinea	false
APS	Anapolis	Anapolis	Brazil	false
APT	Marion County	Jasper	United States	false
APU	Apucarana	Apucarana	Brazil	false
APV	Apple Valley	Apple Valley	United States	false
APW	Faleolo	Apia	Samoa	false
APX	Arapongas	Arapongas	Brazil	false
APY	Alto Parnaiba	Alto Parnaiba	Brazil	false
APZ	Zapala	Zapala	Argentina	false
AQA	Araraquara	Araraquara	Brazil	false
AQB	Quiche Airport	Quiche	Guatemala	false
AQG	Anqing	Anqing	China	false
AQI	Qaisumah	Qaisumah	Saudi Arabia	true
AQJ	King Hussein International	Aqaba	Jordan	true
AQM	Ariquemes	Ariquemes	Brazil	false
AQP	Rodriguez Ballon	Arequipa	Peru	false
AQY	Alyeska	Alyeska	United States	false
ARA	Acadiana Regional	New Iberia	United States	false
ARB	Municipal	Ann Arbor	United States	false
ARC	Arctic Village	Arctic Village	United States	false
ARD	Alor Island	Alor Island	Indonesia	false
ARE	Arecibo	Arecibo	Puerto Rico	false
ARF	Acaricuara	Acaricuara	Colombia	false
ARG	Walnut Ridge	Walnut Ridge	United States	false
ARH	Talagi	Arkhangelsk	Russia	true
ARI	Chacalluta	Arica	Chile	true
ARJ	Arso	Arso	Indonesia	false
ARK	Arusha	Arusha	Tanzania	false
ARL	Arly	Arly	Burkina Faso	false
ARM	Armidale	Armidale	Australia	false
ARN	Arlanda	Stockholm	Sweden	true
ARO	Arboletas	Arboletas	Colombia	false
ARP	Aragip	Aragip	Papua New Guinea	false
ARQ	Arauquita	Arauquita	Colombia	false
ARR	Alto Rio Senguerr	Alto Rio Senguerr	Argentina	false
ARS	Aragarcas	Aragarcas	Brazil	false
ART	Watertown	Watertown	United States	false
ARU	Aracatuba	Aracatuba	Brazil	false
ARV	Noble F. Lee	Minocqua	United States	false
ARW	Arad	Arad	Romania	false
ARY	Ararat	Ararat	Australia	false
ARZ	N'zeto	N'zeto	Angola	false
ASA	Assab International	Assab	Eritrea	false
ASB	Ashgabat	Ashgabat	Turkmenistan	false
ASC	Ascension	Ascension	Bolivia	false
ASD	Andros Town	Andros Town	Bahamas	false
ASE	Aspen	Aspen	United States	false
ASF	Astrakhan	Astrakhan	Russia	true
ASG	Ashburton	Ashburton	New Zealand	false
ASH	Boire Field	Nashua	United States	false
ASI	Wideawake Field	Georgetown	Saint Helena	false
ASJ	Amami	Amami	Japan	false
ASK	Yamoussoukro	Yamoussoukro	Ivory Coast	false
ASL	Harrison County	Marshall	United States	false
ASM	Yohannes IV	Asmara	Eritrea	false
ASN	Talladega	Talladega	United States	false
ASO	Asosa	Asosa	Ethiopia	false
ASP	Alice Springs	Alice Springs	Australia	false
ASQ	Austin	Austin	United States	false
ASR	Erkilet International Airport	Kayseri	Turkey	false
AST	Astoria	Astoria	United States	false
ASU	Silvio Pettirossi	Asuncion	Paraguay	false
ASV	Amboseli	Amboseli	Kenya	false
ASW	Aswan	Aswan	Egypt	false
ASX	Ashland	Ashland	United States	false
ASY	Ashley	Ashley	United States	false
ASZ	Asirim	Asirim	Papua New Guinea	false
ATA	Anta	Anta	Peru	false
ATB	Atbara	Atbara	Sudan	false
ATC	Arthur's Town	Arthur's Town	Bahamas	false
ATD	Atoifi	Atoifi	Solomon Islands	false
ATE	Antlers	Antlers	United States	false
ATF	Chachoan	Ambato	Ecuador	false
ATG	Attock	Attock	Pakistan	false
ATH	Eleftherios Venizelos	Athens	Greece	true
ATI	Artigas	Artigas	Uruguay	false
ATJ	Antsirabe	Antsirabe	Madagascar	false
ATK	Atqasuk	Atqasuk	United States	false
ATL	Hartsfield-Jackson Atlanta International	Atlanta	United States	true
ATM	Altamira	Altamira	Brazil	false
ATN	Namatanai	Namatanai	Papua New Guinea	false
ATO	Ohio University	Athens	United States	false
ATP	Airstrip	Aitape	Papua New Guinea	false
ATQ	Sri Guru Ram Dass Jee	Amritsar	India	true
ATR	Mouakchott	Atar	Mauritania	false
ATS	Artesia	Artesia	United States	false
ATT	Atmautluak	Atmautluak	United States	false
ATV	Ati	Ati	Chad	false
ATW	Outagamie County	Appleton	United States	false
ATX	Atbasar	Atbasar	Kazakhstan	false
ATY	Watertown	Watertown	United States	false
ATZ	Assiut	Assiut	Egypt	false
AUA	Reina Beatrix	Aruba	Aruba	false
AUB	Itauba	Itauba	Brazil	false
AUC	Arauca	Arauca	Colombia	false
AUD	Augustus Downs	Augustus Downs	Australia	false
AUE	Abu Rudeis	Abu Rudeis	Egypt	false
AUF	Auxerre Branches	Auxerre	France	false
AUG	Augusta	Augusta	United States	false
AUH	Zayed International Airport	Abu Dhabi	United Arab Emirates	true
AUI	Aua Island	Aua Island	Papua New Guinea	false
AUJ	Ambunti	Ambunti	Papua New Guinea	false
AUK	Alakanuk	Alakanuk	United States	false
AUL	Aur Island	Aur Island	Marshall Islands	false
AUM	Austin	Austin	United States	false
AUN	Auburn	Auburn	United States	false
AUO	Auburn-Opelika	Auburn	United States	false
AUP	Agaun	Agaun	Papua New Guinea	false
AUQ	Atuona	Atuona	French Polynesia	false
AUR	Aurillac	Aurillac	France	false
AUS	Austin-bergstrom International	Austin	United States	false
AUT	Atauro	Atauro	Indonesia	false
AUU	Aurukun Mission	Aurukun Mission	Australia	false
AUV	Aumo	Aumo	Papua New Guinea	false
AUW	Municipal	Wausau	United States	false
AUX	Araguaina	Araguaina	Brazil	false
AUY	Aneityum	Aneityum	Vanuatu	false
AUZ	Municipal Airport	Aurora	United States	false
AVA	An Shun/Huang Guo Shu	An Shun	China	false
AVB	Aviano	Aviano	Italy	false
AVG	Auvergne	Auvergne	Australia	false
AVI	Maximo Gomez	Ciego De Avila	Cuba	false
AVK	Arvaikheer	Arvaikheer	Mongolia	false
AVL	Asheville Regional Airport	Fletcher	United States	false
AVN	Avignon-Caumont	Avignon	France	false
AVO	Municipal	Avon Park	United States	false
AVP	Wilkes-Barre/Scranton International Airport	Wilkes-Barre	United States	false
AVU	Avu Avu	Avu Avu	Solomon Islands	false
AVV	Avalon	Melbourne	Australia	false
AVW	Avra Valley	Tucson	United States	false
AVX	Avalon Bay	Avalon	United States	false
AWA	Awassa	Awassa	Ethiopia	false
AWB	Awaba	Awaba	Papua New Guinea	false
AWD	Aniwa	Aniwa	Vanuatu	false
AWE	Alowe	Alowe	Gabon	false
AWK	Wake Island	Wake Island	United States Minor Outlying Islands	false
AWM	Municipal	West Memphis	United States	false
AWN	Alton Downs	Alton Downs	Australia	false
AWP	Austral Downs	Austral Downs	Australia	false
AWZ	Ahwaz	Ahwaz	Iran	false
AXA	Wallblake	Anguilla	Anguilla	false
AXB	Alexandria Bay	Alexandria Bay	United States	false
AXC	Aramac	Aramac	Australia	false
AXD	Dimokritos	Alexandroupolis	Greece	false
AXE	Xanxere	Xanxere	Brazil	false
AXG	Algona	Algona	United States	false
AXK	Ataq	Ataq	Yemen	false
AXL	Alexandria	Alexandria	Australia	false
AXM	El Eden	Armenia	Colombia	false
AXN	Alexandria	Alexandria	United States	false
AXP	Springpoint Airport	Spring Point	Bahamas	false
AXR	Arutua	Arutua	French Polynesia	false
AXS	Municipal	Altus	United States	false
AXT	Akita	Akita	Japan	false
AXU	Axum	Axum	Ethiopia	false
AXV	Neil Armstrong	Wapakoneta	United States	false
AXX	Angel Fire	Angel Fire	United States	false
AYA	Ayapel	Ayapel	Colombia	false
AYC	Ayacucho	Ayacucho	Colombia	false
AYD	Alroy Downs	Alroy Downs	Australia	false
AYG	Yaguara	Yaguara	Colombia	false
AYI	Yari	Yari	Colombia	false
AYJ	Ayodhya Airport	Ayodhya	India	true
AYK	Arkalyk	Arkalyk	Kazakhstan	false
AYL	Anthony Lagoon	Anthony Lagoon	Australia	false
AYN	Anyang	Anyang	China	false
AYO	Ayolas	Ayolas	Paraguay	false
AYP	Yanamilla	Ayacucho	Peru	false
AYQ	Connellan	Ayers Rock	Australia	false
AYR	Ayr	Ayr	Australia	false
AYS	Ware County	Waycross	United States	false
AYT	Antalya	Antalya	Turkey	true
AYU	Aiyura	Aiyura	Papua New Guinea	false
AYW	Ayawasi	Ayawasi	Indonesia	false
AYY	Arugam Bay SPB	Pothuvil	Sri Lanka	false
AZA	Williams Gateway	Phoenix	United States	false
AZB	Amazon Bay	Amazon Bay	Papua New Guinea	false
AZD	Yazd	Yazd	Iran	false
AZG	Apatzingan	Apatzingan	Mexico	false
AZL	Fazenda Tucunare	Sapezal	Brazil	false
AZN	Andizhan	Andizhan	Uzbekistan	false
AZO	Kalamazoo/Battle Creek International	Kalamazoo	United States	false
AZP	Atizapan	Mexico City	Mexico	false
AZR	Adrar	Adrar	Algeria	false
AZS	Samana El Catey International	El Catey	Dominican Republic	false
AZT	Zapatoca	Zapatoca	Colombia	false
AZZ	Ambriz	Ambriz	Angola	false
BAA	Bialla	Bialla	Papua New Guinea	false
BAB	Beale AFB	Marysville	United States	false
BAC	Barranca De Upia	Barranca De Upia	Colombia	false
BAD	Barksdale AFB	Shreveport	United States	false
BAE	Barcelonnette	Barcelonnette	France	false
BAF	Barnes	Westfield	United States	false
BAG	Loakan	Baguio	Philippines	false
BAH	Bahrain International	Manama	Bahrain	false
BAI	Buenos Aires	Buenos Aires	Costa Rica	false
BAJ	Bali	Bali	Papua New Guinea	false
BAL	Batman	Batman	Turkey	false
BAM	Lander County	Battle Mountain	United States	false
BAN	Basongo	Basongo	Democratic Republic of the Congo	false
BAO	Udorn	Ban Mak Khaen	Thailand	false
BAQ	E Cortissoz	Barranquilla	Colombia	true
BAR	Baker AAF	Baker Island	United States	false
BAS	Balalae	Balalae	Solomon Islands	false
BAT	Airport Chafei Amsei	Barretos	Brazil	false
BAU	Bauru	Bari	Italy	false
BAV	Baotou	Baotou	China	false
BAW	Biawonque	Biawonque	Gabon	false
BAX	Barnaul	Barnaul	Russia	true
BAY	Baia Mare	Baia Mare	Romania	false
BAZ	Barbelos	Barbelos	Brazil	false
BBA	Teniente Vidal	Balmaceda	Chile	false
BBB	Municipal	Benson	United States	false
BBC	Bay City	Bay City	United States	false
BBD	Curtis Field	Brady	United States	false
BBF	Burlington	Burlington	United States	false
BBG	Butaritari	Butaritari	Kiribati	false
BBH	Barth	Barth	Germany	false
BBI	Biju Patnaik	Bhubaneswar	India	true
BBJ	Bitburg Air Base	Bitburg	Germany	false
BBK	Kasane	Kasane	Botswana	true
BBM	Battambang	Battambang	Cambodia	false
BBN	Bario	Bario	Malaysia	false
BBO	Berbera	Berbera	Somalia	false
BBP	Bembridge	Bembridge	United Kingdom	false
BBQ	Barbuda	Barbuda	Antigua and Barbuda	false
BBR	Baillif	Basse Terre	Guadeloupe	false
BBS	Blackbushe	Yateley	United Kingdom	false
BBT	Berberati	Berberati	Central African Republic	false
BBU	Baneasa	Bucharest	Romania	false
BBV	Nero-Mer	Bereby	Ivory Coast	false
BBW	Broken Bow	Broken Bow	United States	false
BBX	Wings Field	Blue Bell	United States	false
BBY	Bambari	Bambari	Central African Republic	false
BBZ	Zambezi	Zambezi	Zambia	false
BCA	Baracoa	Baracoa	Cuba	false
BCB	Virginia Tech	Blacksburg	United States	false
BCC	Bear Creek	Bear Creek	United States	false
BCD	Bacolod	Bacolod	Philippines	false
BCE	Bryce	Bryce	United States	false
BCF	Bouca	Bouca	Central African Republic	false
BCG	Bemichi	Bemichi	Guyana	false
BCH	Cakung International	Baucau	East Timor	false
BCI	Barcaldine	Barcaldine	Australia	false
BCK	Bolwarra	Bolwarra	Australia	false
BCL	Barra Colorado	Barra Colorado	Costa Rica	false
BCM	Bacau	Bacau	Romania	false
BCN	Josep Tarradellas Barcelona–El Prat Airport	Barcelona	Spain	true
BCO	Jinka	Jinka	Ethiopia	false
BCP	Bambu	Bambu	Papua New Guinea	false
BCQ	Brack	Brack	Libya	false
BCR	Boca Do Acre	Boca Do Acre	Brazil	false
BCS	Southern Seaplane	Belle Chasse	United States	false
BCT	Public	Boca Raton	United States	false
BCU	Bauchi	Bauchi	Nigeria	false
BCV	Belmopan	Belmopan	Belize	false
BCW	Benguera Island	Benguera Island	Mozambique	false
BCX	Beloreck	Beloreck	Russia	false
BCY	Bulchi	Bulchi	Ethiopia	false
BCZ	Bickerton Island	Bickerton Island	Australia	false
BDA	L. F. Wade International	St. George	Bermuda	true
BDB	Bundaberg	Bundaberg	Australia	false
BDC	Barra Do Corda	Barra Do Corda	Brazil	false
BDD	Badu Island	Badu Island	Australia	false
BDE	Baudette	Baudette	United States	false
BDF	Rinkenberger	Bradford	United States	false
BDG	Blanding	Blanding	United States	false
BDH	Bandar Lengeh	Bandar Lengeh	Iran	false
BDI	Bird Island	Bird Island	Seychelles	false
BDJ	Sjamsudin Noor	Banjarmasin	Indonesia	true
BDK	Bondoukou	Bondoukou	Ivory Coast	false
