iata	airport	city	country	prominent
EPL	Mirecourt	Epinal	France	false
EPN	Epena	Epena	Republic of the Congo	false
EPR	Esperance	Esperance	Australia	false
EPS	Arroyo Barril International	Samana	Dominican Republic	false
EPT	Eliptamin	Eliptamin	Papua New Guinea	false
EPU	Parnu	Parnu	Estonia	false
EQS	Esquel	Esquel	Argentina	false
ERA	Erigavo	Erigavo	Somalia	false
ERB	Ernabella	Ernabella	Australia	false
ERC	Erzincan	Erzincan	Turkey	false
ERD	Berdyansk	Berdyansk	Ukraine	false
ERE	Erave	Erave	Papua New Guinea	false
ERF	Erfurt	Erfurt	Germany	false
ERG	Yerbogachen	Yerbogachen	Russia	false
ERH	Moulay Ali Cherif	Er-Rachidia	Morocco	false
ERI	International	Erie	United States	false
ERL	Saiwusu International	Erenhot	China	false
ERM	Comandante Kraemer	Erechim	Brazil	false
ERN	Eirunepe	Eirunepe	Brazil	false
ERO	Coast Guard	Eldred Rock	United States	false
ERQ	Elrose Mine	Elrose Mine	Australia	false
ERR	Errol	Errol	United States	false
ERS	Eros	Windhoek	Namibia	false
ERT	Erdenet	Erdenet	Mongolia	false
ERU	Erume	Erume	Papua New Guinea	false
ERV	Kerrville	Kerrville	United States	false
ERZ	Erzurum Hava Alani	Erzurum	Turkey	false
ESA	Esa'Ala	Esa'Ala	Papua New Guinea	false
ESB	Esenboga International	Ankara	Turkey	true
ESC	Delta County Airport	Escanaba	United States	false
ESD	Orcas Island	Eastsound	United States	false
ESE	Ensenada	Ensenada	Mexico	false
ESF	Esler Field	Alexandria	United States	false
ESG	Mariscal Estigarribia	Mariscal Estigarribia	Paraguay	false
ESH	Shoreham	Shoreham By Sea	United Kingdom	false
ESI	Espinosa	Espinosa	Brazil	false
ESK	Eskisehir	Eskisehir	Turkey	false
ESL	Elista	Elista	Russia	true
ESM	Esmeraldas	Esmeraldas	Ecuador	false
ESN	Easton	Easton	United States	false
ESO	Espanola	Espanola	United States	false
ESP	Birchwood-Pocono	East Stroudsburg	United States	false
ESR	El Salvador	El Salvador	Chile	false
ESS	Essen	Essen	Germany	false
EST	Municipal	Estherville	United States	false
ESU	Essaouira	Essaouira	Morocco	false
ESW	State	Easton	United States	false
ETB	West Bend	West Bend	United States	false
ETD	Etadunna	Etadunna	Australia	false
ETE	Genda Wuha	Genda Wuha	Ethiopia	false
ETH	Eilat	Eilat	Israel	false
ETN	Municipal	Eastland	United States	false
ETR	Santa Rosa Regional	Santa Rosa	Ecuador	false
ETS	Municipal	Enterprise	United States	false
ETZ	Metz-nancy-lorraine	Metz	France	false
EUA	Kaufana	Eua	Tonga	false
EUC	Eucla	Eucla	Australia	false
EUE	Eureka	Eureka	United States	false
EUF	Weedon Field	Eufaula	United States	false
EUG	Eugene	Eugene	United States	false
EUM	Neumuenster	Neumuenster	Germany	false
EUN	Hassan I	Laayoune	Morocco	true
EUO	Paratebueno	Paratebueno	Colombia	false
EUQ	Evelio Javier	Antique	Philippines	false
EUX	F D Roosevelt	St Eustatius	Bonaire, Saint Eustatius and Saba	false
EVD	Eva Downs	Eva Downs	Australia	false
EVE	Evenes	Harstad-narvik	Norway	false
EVG	Sveg	Sveg	Sweden	false
EVH	Evans Head	Evans Head	Australia	false
EVM	Eveleth	Eveleth	United States	false
EVN	Zvartnots International	Yerevan	Armenia	true
EVV	Evansville Regional Airport	Evansville	United States	false
EVW	Evanston	Evanston	United States	false
EVX	Evreux	Evreux	France	false
EWB	New Bedford	New Bedford	United States	false
EWD	Wildman Lake	Wildman Lake	United States	false
EWE	Ewer	Ewer	Indonesia	false
EWI	Enarotali	Enarotali	Indonesia	false
EWK	City-County	Newton	United States	false
EWN	Simmons Nott	New Bern	United States	false
EWO	Ewo	Ewo	Republic of the Congo	false
EWR	Newark Liberty International	New York	United States	false
EXI	SPB	Excursion Inlet	United States	false
EXM	Exmouth Gulf	Exmouth Gulf	Australia	false
EXT	Exeter	Exeter	United Kingdom	false
EYK	Beloyarsky	Beloyarsky	Russia	false
EYL	Yelimane	Yelimane	Mali	false
EYP	El Yopal	El Yopal	Colombia	false
EYR	Yerington	Yerington	United States	false
EYS	Eliye Springs	Eliye Springs	Kenya	false
EYW	International	Key West	United States	false
EZE	Ezeiza Ministro Pistarini	Buenos Aires	Argentina	true
EZS	Elazig	Elazig	Turkey	false
EZV	Berezovo	Berezovo	Russia	false
FAA	Faranah	Faranah	Guinea	false
FAB	Farnborough	Farnborough	United Kingdom	false
FAC	Faaite	Faaite	French Polynesia	false
FAE	Vagar	Sorvágur	Faroe Islands	false
FAF	Felker AAF	Fort Eustis	United States	false
FAG	Fagurholsmyri	Fagurholsmyri	Iceland	false
FAH	Farah	Farah	Afghanistan	false
FAI	Fairbanks International Airport	Fairbanks	United States	false
FAJ	Diego Jimenez Torres	Fajardo	Puerto Rico	false
FAK	False Island	False Island	United States	false
FAM	Regional	Farmington	United States	false
FAO	Faro	Faro	Portugal	false
FAQ	Freida River	Freida River	Papua New Guinea	false
FAR	Hector Field	Fargo	United States	false
FAS	Faskrudsfjordur	Faskrudsfjordur	Iceland	false
FAT	Fresno Air Terminal Airport	Fresno	United States	false
FAU	Fahud	Fahud	Oman	false
FAV	Fakarava	Fakarava	French Polynesia	false
FAY	Municipal	Fayetteville	United States	false
FAZ	Fasa	Fasa	Iran	false
FBA	Fonte Boa	Fonte Boa	Brazil	false
FBD	Faizabad	Faizabad	Afghanistan	false
FBE	Francisco Beltrao	Francisco Beltrao	Brazil	false
FBG	Simmons AAF	Fort Bragg	United States	false
FBK	Ft Wainwright	Fairbanks	United States	false
FBL	Municipal	Faribault	United States	false
FBM	Luano	Lubumbashi	Democratic Republic of the Congo	false
FBR	Fort Bridger	Fort Bridger	United States	false
FBS	Friday Harbor SPB	Friday Harbor	United States	false
FBY	Municipal	Fairbury	United States	false
FCA	Glacier Park International	Kalispell	United States	false
FCB	Ficksburg Sentra Oes	Ficksburg	South Africa	false
FCH	Fresno-Chandler	Fresno	United States	false
FCM	Flying Cloud	Minneapolis	United States	false
FCN	Cuxhaven/Nordholz	Cuxhaven	Germany	false
FCO	Leonardo Da Vinci (Fiumicino)	Rome	Italy	true
FCS	Butts AAF	Colorado Springs	United States	false
FCT	Firing Center AAF	Yakima	United States	false
FCY	Municipal	Forrest City	United States	false
FDE	Bringeland	Forde	Norway	false
FDF	Lamentin	Fort De France	Martinique	false
FDH	Friedrichshafen	Friedrichshafen	Germany	false
FDK	Frederick Municipal	Frederick	United States	false
FDR	Municipal	Frederick	United States	false
FDU	Bandundu	Bandundu	Democratic Republic of the Congo	false
FDY	Findlay	Findlay	United States	false
FEA	Fetlar	Fetlar	United Kingdom	false
FEB	Sanfebagar	Sanfebagar	Nepal	false
FEC	Feira De Santana	Feira De Santana	Brazil	false
FEG	Fergana	Fergana	Uzbekistan	false
FEK	Ferkessedougou	Ferkessedougou	Ivory Coast	false
FEL	Fuerstenfeldbruck	Fuerstenfeldbruck	Germany	false
FEN	Fernando De Noronha	Fernando De Noronha	Brazil	false
FEP	Albertus	Freeport	United States	false
FES	San Fernando	San Fernando	Spain	false
FET	Municipal	Fremont	United States	false
FEW	Warren AFB	Cheyenne	United States	false
FEZ	Saiss	Fez	Morocco	true
FFA	First Flight	Kill Devil Hills	United States	false
FFD	RAF Station	Fairford	United Kingdom	false
FFL	Municipal	Fairfield	United States	false
FFM	Fergus Falls	Fergus Falls	United States	false
FFO	Patterson AFB	Dayton	United States	false
FFT	Capital City	Frankfort	United States	false
FFU	Futaleufu	Futaleufu	Chile	false
FGD	Fderik	Fderik	Mauritania	false
FGI	Fagali I	Apia	Samoa	false
FGL	Fox Glacier	Fox Glacier	New Zealand	false
FGR	Fuengirola	Fuengirola	Spain	false
FGU	Fangatau	Fangatau	French Polynesia	false
FHU	Municipal	Sierra Vista	United States	false
FHZ	Fakahina	Fakahina	French Polynesia	false
FIC	Fire Cove	Fire Cove	United States	false
FID	Elizabeth Field	Fishers Island	United States	false
FIE	Fair Isle	Fair Isle	United Kingdom	false
FIG	Fria	Fria	Guinea	false
FIH	N'djili International	Kinshasa	Democratic Republic of the Congo	false
FIK	Finke	Finke	Australia	false
FIL	Municipal	Fillmore	United States	false
FIN	Finschhafen	Finschhafen	Papua New Guinea	false
FIV	Five Finger	Five Finger Coast Guard Heliport	United States	false
FIZ	Fitzroy Crossing	Fitzroy Crossing	Australia	false
FJR	Al-Fujairah International	Al-fujairah	United Arab Emirates	false
FKB	Karlsruhe/Baden-Baden	Karlsruhe	Germany	false
FKI	Kisangani	Kisangani	Democratic Republic of the Congo	false
FKJ	Fukui	Fukui	Japan	false
FKL	Chess-Lambertin	Franklin	United States	false
FKN	Municipal	Franklin	United States	false
FKQ	Fak Fak	Fak Fak	Indonesia	false
FKS	Fukushima Airport	Fukushima	Japan	false
FLA	Capitolio	Florencia	Colombia	false
FLB	Cangapara	Floriano	Brazil	false
FLC	Falls Creek	Falls Creek	Australia	false
FLD	Fond Du Lac	Fond Du Lac	United States	false
FLF	Schaferhaus	Flensburg	Germany	false
FLG	Pulliam Field	Grand Canyon	United States	false
FLH	Flotta	Flotta	United Kingdom	false
FLI	Flateyri	Flateyri	Iceland	false
FLJ	Falls Bay	Falls Bay	United States	false
FLL	Fort Lauderdale International Airport	Fort Lauderdale	United States	true
FLM	Filadelfia	Filadelfia	Paraguay	false
FLN	Hercilio Luz	Florianopolis	Brazil	false
FLO	Florence	Florence	United States	false
FLP	Flippin	Flippin	United States	false
FLR	Peretola	Florence	Italy	true
FLS	Flinders Island	Flinders Island	Australia	false
FLT	Flat	Flat	United States	false
FLV	Sherman AAF	Fort Leavenworth	United States	false
FLW	Santa Cruz	Flores Island	Portugal	false
FLX	Municipal	Fallon	United States	false
FLY	Finley	Finley	Australia	false
FMA	El Pucu	Formosa	Argentina	false
FMC	Five Mile	Five Mile	United States	false
FME	Tipton AAF	Fort Meade	United States	false
FMG	Flamingo	Flamingo	Costa Rica	false
FMH	Otis AFB	Falmouth	United States	false
FMI	Kalemie	Kalemie	Democratic Republic of the Congo	false
FMM	Allgaeu	Memmingen	Germany	false
FMN	Municipal	Farmington	United States	false
FMO	Muenster/Osnabrueck International	Greven	Germany	false
FMS	Municipal	Fort Madison	United States	false
FMU	Florence Municipal	Florence	United States	false
FMY	Page Field	Fort Myers	United States	false
FNA	Lungi International	Freetown	Sierra Leone	false
FNB	Neubrandenburg	Neubrandenburg	Germany	false
FNC	Madeira	Funchal	Portugal	false
FNE	Fane	Fane	Papua New Guinea	false
FNG	Fada Ngourma	Fada Ngourma	Burkina Faso	false
FNH	Fincha	Fincha	Ethiopia	false
FNI	Garons	Nimes	France	false
FNJ	Sunan International	Pyongyang	North Korea	false
FNK	Fin Creek	Fin Creek	United States	false
FNL	Municipalcipal Airport	Fort Collins	United States	false
FNR	SPB	Funter Bay	United States	false
FNT	Bishop International Airport	Flint	United States	false
FNU	Fenosu	Oristano	Italy	false
FOA	Foula	Foula	United Kingdom	false
FOB	Fort Bragg	Fort Bragg	United States	false
FOC	Fuzhou	Fuzhou	China	true
FOD	Fort Dodge Regional	Fort Dodge	United States	false
FOE	Forbes Field	Topeka	United States	false
FOG	Gino Lisa	Foggia	Italy	false
FOI	Foggia Railway Station	Foggia	Italy	false
FOK	Suffolk County	Westhampton	United States	false
FOM	Foumban	Foumban	Cameroon	false
FON	Fortuna	Fortuna	Costa Rica	false
FOO	Numfoor	Numfoor	Indonesia	false
FOR	Pinto Martins	Fortaleza	Brazil	true
FOS	Forrest	Forrest	Australia	false
FOT	Forster	Forster	Australia	false
FOU	Fougamou	Fougamou	Gabon	false
FOX	Fox	Fox	United States	false
FOY	Foya	Foya	Liberia	false
FPO	Grand Bahama International	Freeport	Bahamas	false
FPR	St Lucie County	Fort Pierce	United States	false
FPY	Perry-Foley	Perry	United States	false
FRA	Frankfurt International Airport	Frankfurt	Germany	true
FRB	Forbes	Forbes	Australia	false
FRC	Franca	Franca	Brazil	false
FRD	Friday Harbor	Friday Harbor	United States	false
FRE	Fera Island	Fera Island	Solomon Islands	false
FRG	Republic Field	Farmingdale	United States	false
FRH	Municipal	French Lick	United States	false
FRI	Marshall AAF	Fort Riley	United States	false
FRK	Fregate Island	Fregate Island	Seychelles	false
FRL	Luigi Ridolfi	Forli	Italy	false
FRM	Fairmont	Fairmont	United States	false
FRN	Bryant AAF	Fort Richardson	United States	false
FRO	Flora	Floro	Norway	false
FRP	Fresh Water Bay	Fresh Water Bay	United States	false
FRQ	Feramin	Feramin	Papua New Guinea	false
FRR	Front Royal-Warren County	Front Royal	United States	false
FRS	Santa Elena	Flores	Guatemala	false
FRT	Frutillar	Frutillar	Chile	false
FRW	Francistown	Francistown	Botswana	false
FRY	Fryeburg	Fryeburg	United States	false
FRZ	Fritzlar Airbase	Fritzlar	Germany	false
FSA	CZ Bus Station	Fuoshan	China	false
FSC	Sud Corse	Figari	France	false
FSD	Joe Foss Field Airport	Sioux Falls	United States	false
FSI	Henry Post AAF	Fort Sill	United States	false
FSK	Municipal	Fort Scott	United States	false
FSL	Fossil Downs	Fossil Downs	Australia	false
FSM	Regional	Fort Smith	United States	false
FSP	Saint-pierre Pointe-blanche	St Pierre	Saint Pierre and Miquelon	false
FSS	Kinloss	Forres	United Kingdom	false
FST	Pecos County	Fort Stockton	United States	false
FSU	Fort Sumner	Fort Sumner	United States	false
FSZ	Mount Fuji	Shizuoka	Japan	false
FTA	Futuna Airport	Futuna Island	Vanuatu	false
FTE	El Calafate	El Calafate	Argentina	true
FTI	Fitiuta	Fitiuta	American Samoa	false
FTK	Godman AAF	Fort Knox	United States	false
FTL	Fortuna Ledge	Fortuna Ledge	United States	false
FTU	Marillac	Fort Dauphin	Madagascar	false
FTW	Meacham Field	Fort Worth	United States	false
FTX	Owando	Owando	Republic of the Congo	false
FTY	Fulton County	Atlanta	United States	false
FUB	Fulleborn	Fulleborn	Papua New Guinea	false
FUE	Fuerteventura	Puerto del Rosario	Spain	true
FUG	Fuyang	Fuyang	China	false
FUJ	Fukue	Fukue	Japan	false
FUK	Fukuoka	Fukuoka	Japan	true
FUL	Municipal	Fullerton	United States	false
FUM	Fuma	Fuma	Papua New Guinea	false
FUN	International	Funafuti Atoll	Tuvalu	false
FUO	Fuoshan	Fuoshan	China	false
FUT	Futuna Island	Futuna Island	Wallis and Futuna	false
FVL	Flora Valey	Flora Valley	Australia	false
FVM	Fuvahmulak	Fuvahmulak	Maldives	false
FVR	Forrest River Airport	Forrest River	Australia	false
FWA	Municipal/Baer Field	Fort Wayne	United States	false
FWH	Fort Worth NAS Jrb/Carswell Field	Dallas	United States	false
FWL	Farewell	Farewell	United States	false
FWM	Heliport	Fort William	United Kingdom	false
FXE	Fort Lauderdale Executive	Fort Lauderdale	United States	false
FXM	Flaxman Island	Flaxman Island	United States	false
FXO	Cuamba	Cuamba	Mozambique	false
FXY	Municipal	Forest City	United States	false
FYG	Fuyong Ferry Port	Shenzhen	China	false
FYM	Municipal	Fayetteville	United States	false
FYT	Faya	Faya	Chad	false
FYU	Fort Yukon	Fort Yukon	United States	false
FYV	Municipal (Drake Field)	Fayetteville	United States	false
GAA	Guamal	Guamal	Colombia	false
GAB	Gabbs	Gabbs	United States	false
GAC	Gracias	Gracias	Honduras	false
GAD	Municipal	Gadsden	United States	false
GAE	Gabes	Gabes	Tunisia	false
GAF	Gafsa	Gafsa	Tunisia	false
GAG	Gage	Gage	United States	false
GAH	Gayndah	Gayndah	Australia	false
GAI	Montgomery County	Gaithersburg	United States	false
GAJ	Junmachi	Yamagata	Japan	false
GAK	Gakona	Gakona	United States	false
GAL	Galena	Galena	United States	false
GAM	Gambell	Gambell	United States	false
GAN	Gan Airport	Gan Island	Maldives	false
GAO	Los Canos	Guantanamo	Cuba	false
GAP	Gusap	Gusap	Papua New Guinea	false
GAQ	Gao	Gao	Mali	false
GAR	Garaina	Garaina	Papua New Guinea	false
GAS	Garissa	Garissa	Kenya	false
GAT	Tallard	Gap	France	false
GAU	Gopinath Bordoloi International	Gawahati	India	true
GAV	Gag Island	Gag Island	Indonesia	false
GAW	Gangaw	Gangaw	Myanmar	false
GAX	Gamba	Gamba	Gabon	false
GAY	Gaya	Gaya	India	false
GAZ	Guasopa	Guasopa	Papua New Guinea	false
GBA	Big Bay	Big Bay	Vanuatu	false
GBB	Gabala	Gabala	Azerbaijan	false
GBC	Gasuke	Gasuke	Papua New Guinea	false
GBD	Great Bend	Great Bend	United States	false
GBE	Sir Seretse Khama International	Gaborone	Botswana	true
GBF	Negarbo	Negarbo	Papua New Guinea	false
GBG	Galesburg	Galesburg	United States	false
GBH	Galbraith Lake	Galbraith Lake	United States	false
GBI	Auxiliary Airfield	Grand Bahama	Bahamas	false
GBJ	Les Bases	Marie Galante	Guadeloupe	false
GBK	Gbangbatok	Gbangbatok	Sierra Leone	false
GBL	Goulburn Island	Goulburn Island	Australia	false
GBM	Garbaharey	Garbaharey	Somalia	false
GBN	San Giovanni Rotondo	San Giovanni Rotondo	Italy	false
GBO	Baltimore Greenbelt T	Baltimore	United States	false
GBP	Gamboola	Gamboola	Australia	false
GBR	Walter J. Koladza Airport	Great Barrington	United States	false
GBS	Port Fitzroy	Port Fitzroy	New Zealand	false
GBT	Gorgan	Gorgan	Iran	false
GBU	Khashm El Girba	Khashm El Girba	Sudan	false
GBV	Gibb River	Gibb River	Australia	false
GBZ	Great Barrier Island	Great Barrier Island	New Zealand	false
GCA	Guacamaya	Guacamaya	Colombia	false
GCC	Campbell County	Gillette	United States	false
GCD	Grand Coulee Dam	Electric City	United States	false
GCH	Gachsaran	Gachsaran	Iran	false
GCI	Guernsey	Guernsey	Guernsey	false
GCJ	Grand Central	Johannesburg	South Africa	false
GCK	Garden City Municipal Airport	Garden City	United States	false
GCM	Owen Roberts International	Georgetown	Cayman Islands	false
GCN	National Park	Grand Canyon	United States	false
GCV	Gravatai	Gravatai	Brazil	false
GCW	Grand Canyon West	Grand Canyon West	United States	false
GCY	Municipal	Greenville	United States	false
GDA	Gounda	Gounda	Central African Republic	false
GDC	Donaldson Center	Greenville	United States	false
GDD	Gordon Downs	Gordon Downs	Australia	false
GDE	Gode/Iddidole	Gode	Ethiopia	false
GDG	Magdagachi	Magdagachi	Russia	false
GDH	Golden Horn Lodge SPB	Golden Horn Lodge	United States	false
GDI	Gordil	Gordil	Central African Republic	false
GDJ	Gandajika	Gandajika	Democratic Republic of the Congo	false
GDL	Don Miguel Hidalgo y Costilla International	Guadalajara	Mexico	false
GDM	Municipal	Gardner	United States	false
GDN	Lech Walesa	Gdansk	Poland	true
GDO	Vare Maria	Guasdualito	Venezuela	false
GDP	Guadalupe	Guadalupe	Brazil	false
GDQ	Gondar	Gondar	Ethiopia	false
GDT	Grand Turk Island	Grand Turk Island	Turks and Caicos Islands	false
GDV	Dawson Community	Glendive	United States	false
GDW	Gladwin	Gladwin	United States	false
GDX	Sokol	Magadan	Russia	true
GDZ	Gelendzik	Gelendzik	Russia	false
GEA	Magenta	Noumea	New Caledonia	false
GEB	Gebe	Gebe	Indonesia	false
GEC	Gecitkale	Gecitkale	Cyprus	false
GED	Sussex County	Georgetown	United States	false
GEE	George Town	George Town	Australia	false
GEF	Geva Airstrip	Geva	Solomon Islands	false
